2018arXiv180110177C,unrelated,
2018arXiv180303730B,unrelated,
2018arXiv180304003C,unrelated,
2018arXiv180304010L,unrelated,
2018arXiv180405900S,tess,astrophysics
2018arXiv180406982B,tess,astrophysics
2018arXiv180609282W,tess,exoplanets
2018arXiv180711129H,tess,exoplanets
2018arXiv180806649B,unrelated,
2018arXiv181008689C,unrelated,
2018arXiv181012554B,unrelated,
2018arXiv181206150C,unrelated,
2018arXiv181209227N,unrelated,
2018arXiv181209406B,tess,exoplanets
2018haex.bookE.128P,unrelated,
2018pas6.conf..106M,unrelated,
2018sf2a.conf..125B,tess,astrophysics
2019A&A...621A..44H,unrelated,
2019A&A...621A.117A,unrelated,
2019A&A...621A.135B,unrelated,
2019A&A...622A..49C,unrelated,
2019A&A...622L...7T,tess,exoplanets
2019A&A...623A..39H,unrelated,
2019A&A...623A.100N,tess,exoplanets
2019A&A...623A.165E,tess,exoplanets
2019A&A...624A..15S,unrelated,
2019A&A...624A..46L,tess,exoplanets
2019A&A...624A..49W,unrelated,
2019A&A...624A..75A,unrelated,
2019A&A...624A..79B,tess,astrophysics
2019A&A...625A..16J,tess,exoplanets
2019A&A...625A.139M,unrelated,
2019A&A...625A.142E,unrelated,
2019A&A...625L..13Z,tess,astrophysics
2019A&A...627A..43D,tess,exoplanets
2019A&A...627A.157C,unrelated,
2019A&A...628A..12T,unrelated,
2019A&A...628A..25J,unrelated,
2019A&A...628A..39L,tess,exoplanets
2019A&A...628A..49M,unrelated,
2019A&A...628A..79S,tess,astrophysics
2019A&A...628A.106B,tess,astrophysics
2019A&A...629A..19M,unrelated,
2019A&A...629A..42M,unrelated,
2019A&A...629A.111C,tess,exoplanets
2019A&A...630A..51B,unrelated,
2019A&A...630A..81B,tess,exoplanets
2019A&A...630A..89P,unrelated,
2019A&A...631A..45S,tess,astrophysics
2019AAS...23312406Z,unrelated,
2019AAS...23314001C,unrelated,
2019AAS...23314002C,unrelated,
2019AAS...23314005C,unrelated,
2019AAS...23314006Q,unrelated,
2019AAS...23314009A,unrelated,
2019AAS...23314011B,unrelated,
2019AAS...23314014F,unrelated,
2019AAS...23314015C,unrelated,
2019AAS...23314017M,unrelated,
2019AAS...23314018H,unrelated,
2019AAS...23314021B,unrelated,
2019AAS...23314024M,unrelated,
2019AAS...23314602L,unrelated,
2019AAS...23314603H,unrelated,
2019AAS...23314605P,unrelated,
2019AAS...23314812L,unrelated,
2019AAS...23315704B,unrelated,
2019AAS...23316204T,unrelated,
2019AAS...23316406L,unrelated,
2019AAS...23321512S,unrelated,
2019AAS...23323709D,unrelated,
2019AAS...23324507C,unrelated,
2019AAS...23324511F,unrelated,
2019AAS...23324736C,unrelated,
2019AAS...23325903C,unrelated,
2019AAS...23330401B,unrelated,
2019AAS...23331204M,unrelated,
2019AAS...23331302D,unrelated,
2019AAS...23336303A,unrelated,
2019AAS...23338002L,unrelated,
2019AAS...23340407S,unrelated,
2019AAS...23340504D,unrelated,
2019AAS...23342204G,unrelated,
2019AAS...23342205Y,unrelated,
2019AAS...23342305W,unrelated,
2019AAS...23342306T,unrelated,
2019AAS...23344502S,unrelated,
2019AJ....157...19B,unrelated,
2019AJ....157...37Y,tess,exoplanets
2019AJ....157...40F,unrelated,
2019AJ....157...51W,tess,exoplanets
2019AJ....157...77G,unrelated,
2019AJ....157...84V,tess,exoplanets
2019AJ....157...97K,unrelated,
2019AJ....157..113B,tess,exoplanets
2019AJ....157..124K,unrelated,
2019AJ....157..142G,tess,exoplanets
2019AJ....157..143B,unrelated,
2019AJ....157..149L,unrelated,
2019AJ....157..171K,unrelated,
2019AJ....157..177A,unrelated,
2019AJ....157..178S,tess,exoplanets
2019AJ....157..180P,unrelated,
2019AJ....157..185B,unrelated,
2019AJ....157..191R,tess,exoplanets
2019AJ....157..197S,unrelated,
2019AJ....157..211M,tess,astrophysics
2019AJ....157..217B,tess,exoplanets
2019AJ....157..223L,tess,astrophysics
2019AJ....157..235C,tess,exoplanets
2019AJ....157..238L,unrelated,
2019AJ....157..239J,unrelated,
2019AJ....157..242E,unrelated,
2019AJ....157..245H,tess,exoplanets
2019AJ....158...25Y,tess,exoplanets
2019AJ....158...32K,tess,exoplanets
2019AJ....158...45B,tess,exoplanets
2019AJ....158...62R,unrelated,
2019AJ....158...65D,tess,exoplanets
2019AJ....158...66M,tess,astrophysics
2019AJ....158...77C,tess,astrophysics
2019AJ....158...78J,unrelated,
2019AJ....158...81C,tess,exoplanets
2019AJ....158...88A,unrelated,
2019AJ....158...91S,unrelated,
2019AJ....158...96J,tess,exoplanets
2019AJ....158..106C,unrelated,
2019AJ....158..119L,unrelated,
2019AJ....158..120Z,unrelated,
2019AJ....158..138S,tess,astrophysics
2019AJ....158..141Z,tess,exoplanets
2019AJ....158..143H,unrelated,
2019AJ....158..146H,tess,exoplanets
2019AJ....158..152W,tess,exoplanets
2019AJ....158..170C,unrelated,
2019AJ....158..177Q,tess,exoplanets
2019AN....340..308S,tess,astrophysics
2019ARA&A..57...35A,unrelated,
2019AREPS..47..141J,unrelated,
2019AcA....69...55B,unrelated,
2019ApJ...871L..24V,tess,exoplanets
2019ApJ...872L...9P,tess,astrophysics
